Cantidad de gimnasios,Cantidad de paradas,Capacidad de la mochila,Numero de repeticion,Tiempo,Cantidad de instancias visitadas,Cantidad de instancias calculadas,Tamano del camino,Version de podas,Cantidad de podas 1,Cantidad de podas 2
1.0,4.0,4.0,0,200.0,5.0,5.0,2.0,3.0,1.0,15.0
1.0,4.0,4.0,1,257.0,5.0,5.0,2.0,3.0,1.0,15.0
1.0,4.0,4.0,2,256.0,5.0,5.0,2.0,3.0,1.0,15.0
1.0,4.0,4.0,3,257.0,5.0,5.0,2.0,3.0,1.0,15.0
1.0,4.0,4.0,4,341.0,5.0,5.0,2.0,3.0,1.0,15.0
1.0,4.0,4.0,5,347.0,5.0,5.0,2.0,3.0,1.0,15.0
1.0,4.0,4.0,6,254.0,5.0,5.0,2.0,3.0,1.0,15.0
1.0,4.0,4.0,7,253.0,5.0,5.0,2.0,3.0,1.0,15.0
1.0,4.0,4.0,0,279.0,10.0,10.0,2.0,3.0,6.0,13.0
1.0,4.0,4.0,1,184.0,10.0,10.0,2.0,3.0,6.0,13.0
1.0,4.0,4.0,2,193.0,10.0,10.0,2.0,3.0,6.0,13.0
1.0,4.0,4.0,3,179.0,10.0,10.0,2.0,3.0,6.0,13.0
1.0,4.0,4.0,4,234.0,10.0,10.0,2.0,3.0,6.0,13.0
1.0,4.0,4.0,5,232.0,10.0,10.0,2.0,3.0,6.0,13.0
1.0,4.0,4.0,6,221.0,10.0,10.0,2.0,3.0,6.0,13.0
1.0,4.0,4.0,7,235.0,10.0,10.0,2.0,3.0,6.0,13.0
1.0,4.0,4.0,0,186.0,12.0,12.0,2.0,3.0,8.0,12.0
1.0,4.0,4.0,1,187.0,12.0,12.0,2.0,3.0,8.0,12.0
1.0,4.0,4.0,2,188.0,12.0,12.0,2.0,3.0,8.0,12.0
1.0,4.0,4.0,3,191.0,12.0,12.0,2.0,3.0,8.0,12.0
1.0,4.0,4.0,4,186.0,12.0,12.0,2.0,3.0,8.0,12.0
1.0,4.0,4.0,5,192.0,12.0,12.0,2.0,3.0,8.0,12.0
1.0,4.0,4.0,6,184.0,12.0,12.0,2.0,3.0,8.0,12.0
1.0,4.0,4.0,7,203.0,12.0,12.0,2.0,3.0,8.0,12.0
1.0,4.0,4.0,0,293.0,21.0,21.0,2.0,3.0,17.0,6.0
1.0,4.0,4.0,1,306.0,21.0,21.0,2.0,3.0,17.0,6.0
1.0,4.0,4.0,2,290.0,21.0,21.0,2.0,3.0,17.0,6.0
1.0,4.0,4.0,3,291.0,21.0,21.0,2.0,3.0,17.0,6.0
1.0,4.0,4.0,4,303.0,21.0,21.0,2.0,3.0,17.0,6.0
1.0,4.0,4.0,5,323.0,21.0,21.0,2.0,3.0,17.0,6.0
1.0,4.0,4.0,6,224.0,21.0,21.0,2.0,3.0,17.0,6.0
1.0,4.0,4.0,7,221.0,21.0,21.0,2.0,3.0,17.0,6.0
1.0,4.0,4.0,0,162.0,6.0,6.0,2.0,3.0,2.0,14.0
1.0,4.0,4.0,1,239.0,6.0,6.0,2.0,3.0,2.0,14.0
1.0,4.0,4.0,2,236.0,6.0,6.0,2.0,3.0,2.0,14.0
1.0,4.0,4.0,3,303.0,6.0,6.0,2.0,3.0,2.0,14.0
1.0,4.0,4.0,4,306.0,6.0,6.0,2.0,3.0,2.0,14.0
1.0,4.0,4.0,5,363.0,6.0,6.0,2.0,3.0,2.0,14.0
1.0,4.0,4.0,6,354.0,6.0,6.0,2.0,3.0,2.0,14.0
1.0,4.0,4.0,7,223.0,6.0,6.0,2.0,3.0,2.0,14.0
1.0,4.0,4.0,0,262.0,8.0,8.0,2.0,3.0,4.0,13.0
1.0,4.0,4.0,1,230.0,8.0,8.0,2.0,3.0,4.0,13.0
1.0,4.0,4.0,2,226.0,8.0,8.0,2.0,3.0,4.0,13.0
1.0,4.0,4.0,3,175.0,8.0,8.0,2.0,3.0,4.0,13.0
1.0,4.0,4.0,4,177.0,8.0,8.0,2.0,3.0,4.0,13.0
1.0,4.0,4.0,5,192.0,8.0,8.0,2.0,3.0,4.0,13.0
1.0,4.0,4.0,6,320.0,8.0,8.0,2.0,3.0,4.0,13.0
1.0,4.0,4.0,7,322.0,8.0,8.0,2.0,3.0,4.0,13.0
1.0,4.0,4.0,0,327.0,10.0,10.0,2.0,3.0,6.0,13.0
1.0,4.0,4.0,1,328.0,10.0,10.0,2.0,3.0,6.0,13.0
1.0,4.0,4.0,2,275.0,10.0,10.0,2.0,3.0,6.0,13.0
1.0,4.0,4.0,3,245.0,10.0,10.0,2.0,3.0,6.0,13.0
1.0,4.0,4.0,4,331.0,10.0,10.0,2.0,3.0,6.0,13.0
1.0,4.0,4.0,5,231.0,10.0,10.0,2.0,3.0,6.0,13.0
1.0,4.0,4.0,6,231.0,10.0,10.0,2.0,3.0,6.0,13.0
1.0,4.0,4.0,7,303.0,10.0,10.0,2.0,3.0,6.0,13.0
1.0,4.0,4.0,0,321.0,12.0,12.0,2.0,3.0,8.0,11.0
1.0,4.0,4.0,1,317.0,12.0,12.0,2.0,3.0,8.0,11.0
1.0,4.0,4.0,2,317.0,12.0,12.0,2.0,3.0,8.0,11.0
1.0,4.0,4.0,3,322.0,12.0,12.0,2.0,3.0,8.0,11.0
1.0,4.0,4.0,4,307.0,12.0,12.0,2.0,3.0,8.0,11.0
1.0,4.0,4.0,5,247.0,12.0,12.0,2.0,3.0,8.0,11.0
1.0,4.0,4.0,6,332.0,12.0,12.0,2.0,3.0,8.0,11.0
1.0,4.0,4.0,7,246.0,12.0,12.0,2.0,3.0,8.0,11.0
2.0,4.0,4.0,0,852.0,81.0,75.0,3.0,3.0,52.0,40.0
2.0,4.0,4.0,1,1092.0,81.0,75.0,3.0,3.0,52.0,40.0
2.0,4.0,4.0,2,1258.0,81.0,75.0,3.0,3.0,52.0,40.0
2.0,4.0,4.0,3,1262.0,81.0,75.0,3.0,3.0,52.0,40.0
2.0,4.0,4.0,4,1224.0,81.0,75.0,3.0,3.0,52.0,40.0
2.0,4.0,4.0,5,1103.0,81.0,75.0,3.0,3.0,52.0,40.0
2.0,4.0,4.0,6,762.0,81.0,75.0,3.0,3.0,52.0,40.0
2.0,4.0,4.0,7,654.0,81.0,75.0,3.0,3.0,52.0,40.0
2.0,4.0,4.0,0,980.0,111.0,71.0,5.0,3.0,33.0,18.0
2.0,4.0,4.0,1,1054.0,111.0,71.0,5.0,3.0,33.0,18.0
2.0,4.0,4.0,2,1281.0,111.0,71.0,5.0,3.0,33.0,18.0
2.0,4.0,4.0,3,1309.0,111.0,71.0,5.0,3.0,33.0,18.0
2.0,4.0,4.0,4,1301.0,111.0,71.0,5.0,3.0,33.0,18.0
2.0,4.0,4.0,5,1100.0,111.0,71.0,5.0,3.0,33.0,18.0
2.0,4.0,4.0,6,834.0,111.0,71.0,5.0,3.0,33.0,18.0
2.0,4.0,4.0,7,739.0,111.0,71.0,5.0,3.0,33.0,18.0
2.0,4.0,4.0,0,1478.0,129.0,79.0,5.0,3.0,37.0,11.0
2.0,4.0,4.0,1,1155.0,129.0,79.0,5.0,3.0,37.0,11.0
2.0,4.0,4.0,2,1528.0,129.0,79.0,5.0,3.0,37.0,11.0
2.0,4.0,4.0,3,1159.0,129.0,79.0,5.0,3.0,37.0,11.0
2.0,4.0,4.0,4,1112.0,129.0,79.0,5.0,3.0,37.0,11.0
2.0,4.0,4.0,5,818.0,129.0,79.0,5.0,3.0,37.0,11.0
2.0,4.0,4.0,6,805.0,129.0,79.0,5.0,3.0,37.0,11.0
2.0,4.0,4.0,7,802.0,129.0,79.0,5.0,3.0,37.0,11.0
2.0,4.0,4.0,0,1012.0,132.0,87.0,5.0,3.0,55.0,0.0
2.0,4.0,4.0,1,1249.0,132.0,87.0,5.0,3.0,55.0,0.0
2.0,4.0,4.0,2,1221.0,132.0,87.0,5.0,3.0,55.0,0.0
2.0,4.0,4.0,3,1572.0,132.0,87.0,5.0,3.0,55.0,0.0
2.0,4.0,4.0,4,1119.0,132.0,87.0,5.0,3.0,55.0,0.0
2.0,4.0,4.0,5,1142.0,132.0,87.0,5.0,3.0,55.0,0.0
2.0,4.0,4.0,6,1096.0,132.0,87.0,5.0,3.0,55.0,0.0
2.0,4.0,4.0,7,1046.0,132.0,87.0,5.0,3.0,55.0,0.0
2.0,4.0,4.0,0,801.0,128.0,90.0,4.0,3.0,54.0,33.0
2.0,4.0,4.0,1,803.0,128.0,90.0,4.0,3.0,54.0,33.0
2.0,4.0,4.0,2,831.0,128.0,90.0,4.0,3.0,54.0,33.0
2.0,4.0,4.0,3,1225.0,128.0,90.0,4.0,3.0,54.0,33.0
2.0,4.0,4.0,4,1595.0,128.0,90.0,4.0,3.0,54.0,33.0
2.0,4.0,4.0,5,1593.0,128.0,90.0,4.0,3.0,54.0,33.0
2.0,4.0,4.0,6,1278.0,128.0,90.0,4.0,3.0,54.0,33.0
2.0,4.0,4.0,7,1297.0,128.0,90.0,4.0,3.0,54.0,33.0
2.0,4.0,4.0,0,579.0,40.0,40.0,3.0,3.0,20.0,48.0
2.0,4.0,4.0,1,647.0,40.0,40.0,3.0,3.0,20.0,48.0
2.0,4.0,4.0,2,472.0,40.0,40.0,3.0,3.0,20.0,48.0
2.0,4.0,4.0,3,474.0,40.0,40.0,3.0,3.0,20.0,48.0
2.0,4.0,4.0,4,807.0,40.0,40.0,3.0,3.0,20.0,48.0
2.0,4.0,4.0,5,804.0,40.0,40.0,3.0,3.0,20.0,48.0
2.0,4.0,4.0,6,801.0,40.0,40.0,3.0,3.0,20.0,48.0
2.0,4.0,4.0,7,681.0,40.0,40.0,3.0,3.0,20.0,48.0
2.0,4.0,4.0,0,751.0,57.0,55.0,3.0,3.0,38.0,32.0
2.0,4.0,4.0,1,539.0,57.0,55.0,3.0,3.0,38.0,32.0
2.0,4.0,4.0,2,561.0,57.0,55.0,3.0,3.0,38.0,32.0
2.0,4.0,4.0,3,543.0,57.0,55.0,3.0,3.0,38.0,32.0
2.0,4.0,4.0,4,689.0,57.0,55.0,3.0,3.0,38.0,32.0
2.0,4.0,4.0,5,547.0,57.0,55.0,3.0,3.0,38.0,32.0
2.0,4.0,4.0,6,859.0,57.0,55.0,3.0,3.0,38.0,32.0
2.0,4.0,4.0,7,923.0,57.0,55.0,3.0,3.0,38.0,32.0
2.0,4.0,4.0,0,1055.0,121.0,86.0,4.0,3.0,48.0,35.0
2.0,4.0,4.0,1,1046.0,121.0,86.0,4.0,3.0,48.0,35.0
2.0,4.0,4.0,2,1059.0,121.0,86.0,4.0,3.0,48.0,35.0
2.0,4.0,4.0,3,1878.0,121.0,86.0,4.0,3.0,48.0,35.0
2.0,4.0,4.0,4,1356.0,121.0,86.0,4.0,3.0,48.0,35.0
2.0,4.0,4.0,5,1348.0,121.0,86.0,4.0,3.0,48.0,35.0
2.0,4.0,4.0,6,1359.0,121.0,86.0,4.0,3.0,48.0,35.0
2.0,4.0,4.0,7,1029.0,121.0,86.0,4.0,3.0,48.0,35.0
3.0,4.0,4.0,0,3581.0,356.0,171.0,7.0,3.0,47.0,0.0
3.0,4.0,4.0,1,3548.0,356.0,171.0,7.0,3.0,47.0,0.0
3.0,4.0,4.0,2,3018.0,356.0,171.0,7.0,3.0,47.0,0.0
3.0,4.0,4.0,3,2721.0,356.0,171.0,7.0,3.0,47.0,0.0
3.0,4.0,4.0,4,2638.0,356.0,171.0,7.0,3.0,47.0,0.0
3.0,4.0,4.0,5,2117.0,356.0,171.0,7.0,3.0,47.0,0.0
3.0,4.0,4.0,6,2912.0,356.0,171.0,7.0,3.0,47.0,0.0
3.0,4.0,4.0,7,4426.0,356.0,171.0,7.0,3.0,47.0,0.0
3.0,4.0,4.0,0,2327.0,232.0,122.0,0.0,3.0,32.0,0.0
3.0,4.0,4.0,1,2338.0,232.0,122.0,0.0,3.0,32.0,0.0
3.0,4.0,4.0,2,1802.0,232.0,122.0,0.0,3.0,32.0,0.0
3.0,4.0,4.0,3,1482.0,232.0,122.0,0.0,3.0,32.0,0.0
3.0,4.0,4.0,4,1607.0,232.0,122.0,0.0,3.0,32.0,0.0
3.0,4.0,4.0,5,1345.0,232.0,122.0,0.0,3.0,32.0,0.0
3.0,4.0,4.0,6,1790.0,232.0,122.0,0.0,3.0,32.0,0.0
3.0,4.0,4.0,7,1782.0,232.0,122.0,0.0,3.0,32.0,0.0
3.0,4.0,4.0,0,1338.0,232.0,122.0,0.0,3.0,32.0,0.0
3.0,4.0,4.0,1,1291.0,232.0,122.0,0.0,3.0,32.0,0.0
3.0,4.0,4.0,2,1426.0,232.0,122.0,0.0,3.0,32.0,0.0
3.0,4.0,4.0,3,1671.0,232.0,122.0,0.0,3.0,32.0,0.0
3.0,4.0,4.0,4,1748.0,232.0,122.0,0.0,3.0,32.0,0.0
3.0,4.0,4.0,5,1728.0,232.0,122.0,0.0,3.0,32.0,0.0
3.0,4.0,4.0,6,1723.0,232.0,122.0,0.0,3.0,32.0,0.0
3.0,4.0,4.0,7,1297.0,232.0,122.0,0.0,3.0,32.0,0.0
3.0,4.0,4.0,0,2053.0,367.0,199.0,6.0,3.0,84.0,11.0
3.0,4.0,4.0,1,6763.0,367.0,199.0,6.0,3.0,84.0,11.0
3.0,4.0,4.0,2,3552.0,367.0,199.0,6.0,3.0,84.0,11.0
3.0,4.0,4.0,3,3303.0,367.0,199.0,6.0,3.0,84.0,11.0
3.0,4.0,4.0,4,2056.0,367.0,199.0,6.0,3.0,84.0,11.0
3.0,4.0,4.0,5,3149.0,367.0,199.0,6.0,3.0,84.0,11.0
3.0,4.0,4.0,6,3617.0,367.0,199.0,6.0,3.0,84.0,11.0
3.0,4.0,4.0,7,2976.0,367.0,199.0,6.0,3.0,84.0,11.0
3.0,4.0,4.0,0,2861.0,372.0,202.0,6.0,3.0,84.0,12.0
3.0,4.0,4.0,1,3697.0,372.0,202.0,6.0,3.0,84.0,12.0
3.0,4.0,4.0,2,2432.0,372.0,202.0,6.0,3.0,84.0,12.0
3.0,4.0,4.0,3,2156.0,372.0,202.0,6.0,3.0,84.0,12.0
3.0,4.0,4.0,4,4319.0,372.0,202.0,6.0,3.0,84.0,12.0
3.0,4.0,4.0,5,4191.0,372.0,202.0,6.0,3.0,84.0,12.0
3.0,4.0,4.0,6,3628.0,372.0,202.0,6.0,3.0,84.0,12.0
3.0,4.0,4.0,7,2767.0,372.0,202.0,6.0,3.0,84.0,12.0
3.0,4.0,4.0,0,3302.0,415.0,224.0,6.0,3.0,85.0,13.0
3.0,4.0,4.0,1,3491.0,415.0,224.0,6.0,3.0,85.0,13.0
3.0,4.0,4.0,2,3948.0,415.0,224.0,6.0,3.0,85.0,13.0
3.0,4.0,4.0,3,3197.0,415.0,224.0,6.0,3.0,85.0,13.0
3.0,4.0,4.0,4,2318.0,415.0,224.0,6.0,3.0,85.0,13.0
3.0,4.0,4.0,5,3084.0,415.0,224.0,6.0,3.0,85.0,13.0
3.0,4.0,4.0,6,3085.0,415.0,224.0,6.0,3.0,85.0,13.0
3.0,4.0,4.0,7,3105.0,415.0,224.0,6.0,3.0,85.0,13.0
3.0,4.0,4.0,0,2189.0,381.0,202.0,6.0,3.0,84.0,3.0
3.0,4.0,4.0,1,2207.0,381.0,202.0,6.0,3.0,84.0,3.0
3.0,4.0,4.0,2,2294.0,381.0,202.0,6.0,3.0,84.0,3.0
3.0,4.0,4.0,3,5087.0,381.0,202.0,6.0,3.0,84.0,3.0
3.0,4.0,4.0,4,3203.0,381.0,202.0,6.0,3.0,84.0,3.0
3.0,4.0,4.0,5,2947.0,381.0,202.0,6.0,3.0,84.0,3.0
3.0,4.0,4.0,6,2777.0,381.0,202.0,6.0,3.0,84.0,3.0
3.0,4.0,4.0,7,2268.0,381.0,202.0,6.0,3.0,84.0,3.0
3.0,4.0,4.0,0,1734.0,288.0,168.0,7.0,3.0,54.0,0.0
3.0,4.0,4.0,1,2373.0,288.0,168.0,7.0,3.0,54.0,0.0
3.0,4.0,4.0,2,2317.0,288.0,168.0,7.0,3.0,54.0,0.0
3.0,4.0,4.0,3,1830.0,288.0,168.0,7.0,3.0,54.0,0.0
3.0,4.0,4.0,4,1726.0,288.0,168.0,7.0,3.0,54.0,0.0
3.0,4.0,4.0,5,1763.0,288.0,168.0,7.0,3.0,54.0,0.0
3.0,4.0,4.0,6,4142.0,288.0,168.0,7.0,3.0,54.0,0.0
3.0,4.0,4.0,7,5423.0,288.0,168.0,7.0,3.0,54.0,0.0
4.0,4.0,4.0,0,10556.0,1444.0,658.0,7.0,3.0,208.0,78.0
4.0,4.0,4.0,1,9478.0,1444.0,658.0,7.0,3.0,208.0,78.0
4.0,4.0,4.0,2,10320.0,1444.0,658.0,7.0,3.0,208.0,78.0
4.0,4.0,4.0,3,9212.0,1444.0,658.0,7.0,3.0,208.0,78.0
4.0,4.0,4.0,4,7366.0,1444.0,658.0,7.0,3.0,208.0,78.0
4.0,4.0,4.0,5,9735.0,1444.0,658.0,7.0,3.0,208.0,78.0
4.0,4.0,4.0,6,7383.0,1444.0,658.0,7.0,3.0,208.0,78.0
4.0,4.0,4.0,7,10702.0,1444.0,658.0,7.0,3.0,208.0,78.0
4.0,4.0,4.0,0,6033.0,1152.0,530.0,8.0,3.0,147.0,0.0
4.0,4.0,4.0,1,7916.0,1152.0,530.0,8.0,3.0,147.0,0.0
4.0,4.0,4.0,2,11631.0,1152.0,530.0,8.0,3.0,147.0,0.0
4.0,4.0,4.0,3,8511.0,1152.0,530.0,8.0,3.0,147.0,0.0
4.0,4.0,4.0,4,6125.0,1152.0,530.0,8.0,3.0,147.0,0.0
4.0,4.0,4.0,5,7972.0,1152.0,530.0,8.0,3.0,147.0,0.0
4.0,4.0,4.0,6,6061.0,1152.0,530.0,8.0,3.0,147.0,0.0
4.0,4.0,4.0,7,6321.0,1152.0,530.0,8.0,3.0,147.0,0.0
4.0,4.0,4.0,0,7890.0,1093.0,508.0,8.0,3.0,192.0,1.0
4.0,4.0,4.0,1,7226.0,1093.0,508.0,8.0,3.0,192.0,1.0
4.0,4.0,4.0,2,5943.0,1093.0,508.0,8.0,3.0,192.0,1.0
4.0,4.0,4.0,3,5889.0,1093.0,508.0,8.0,3.0,192.0,1.0
4.0,4.0,4.0,4,8017.0,1093.0,508.0,8.0,3.0,192.0,1.0
4.0,4.0,4.0,5,5892.0,1093.0,508.0,8.0,3.0,192.0,1.0
4.0,4.0,4.0,6,7786.0,1093.0,508.0,8.0,3.0,192.0,1.0
4.0,4.0,4.0,7,8352.0,1093.0,508.0,8.0,3.0,192.0,1.0
4.0,4.0,4.0,0,14563.0,2726.0,1147.0,6.0,3.0,421.0,182.0
4.0,4.0,4.0,1,16492.0,2726.0,1147.0,6.0,3.0,421.0,182.0
4.0,4.0,4.0,2,17073.0,2726.0,1147.0,6.0,3.0,421.0,182.0
4.0,4.0,4.0,3,14658.0,2726.0,1147.0,6.0,3.0,421.0,182.0
4.0,4.0,4.0,4,15247.0,2726.0,1147.0,6.0,3.0,421.0,182.0
4.0,4.0,4.0,5,15037.0,2726.0,1147.0,6.0,3.0,421.0,182.0
4.0,4.0,4.0,6,18818.0,2726.0,1147.0,6.0,3.0,421.0,182.0
4.0,4.0,4.0,7,15607.0,2726.0,1147.0,6.0,3.0,421.0,182.0
4.0,4.0,4.0,0,6536.0,948.0,432.0,8.0,3.0,111.0,0.0
4.0,4.0,4.0,1,4878.0,948.0,432.0,8.0,3.0,111.0,0.0
