paradas, gimnasios, mochila, amplitud, promedio de tiempo, desviación estandar de tiempo 
1, 0, 0, 0, 5.26666666667, 1.18133634311
1, 0, 0, 1, 4.06666666667, 0.99777530314
1, 0, 0, 2, 3.8, 1.37598449604
1, 0, 0, 3, 4.2, 2.00665559244
1, 0, 0, 4, 5.26666666667, 1.06249183003
1, 0, 1, 0, 4.46666666667, 1.78387842137
1, 0, 1, 1, 5.46666666667, 1.30979218029
1, 0, 1, 2, 4.93333333333, 1.23648246607
1, 0, 1, 3, 4.6, 1.1430952133
1, 0, 1, 4, 5.0, 1.67332005307
1, 0, 2, 0, 5.06666666667, 1.28927197372
1, 0, 2, 1, 5.53333333333, 0.95684667296
1, 0, 2, 2, 3.46666666667, 1.54344492037
1, 0, 2, 3, 3.93333333333, 1.38884444373
1, 0, 2, 4, 4.73333333333, 1.38884444373
1, 0, 3, 0, 5.2, 1.04562580942
1, 0, 3, 1, 3.66666666667, 2.05480466766
1, 0, 3, 2, 5.4, 1.01980390272
1, 0, 3, 3, 5.0, 1.46059348668
1, 0, 3, 4, 4.4, 1.74355957742
1, 0, 4, 0, 3.46666666667, 1.78387842137
1, 0, 4, 1, 4.73333333333, 1.56914697279
1, 0, 4, 2, 5.0, 1.09544511501
1, 0, 4, 3, 3.53333333333, 1.92757763931
1, 0, 4, 4, 5.26666666667, 1.43604394857
1, 0, 5, 0, 5.0, 1.50554530542
1, 0, 5, 1, 4.8, 2.25684145064
1, 0, 5, 2, 6.0, 2.19089023002
1, 0, 5, 3, 7.13333333333, 1.74610678049
1, 0, 5, 4, 4.93333333333, 1.06249183003
1, 0, 6, 0, 5.53333333333, 1.35973853696
1, 0, 6, 1, 4.8, 1.86904610252
1, 0, 6, 2, 4.73333333333, 2.32283351869
1, 0, 6, 3, 6.6, 1.62480768093
1, 0, 6, 4, 4.26666666667, 1.73076733143
1, 0, 7, 0, 3.93333333333, 1.33998341615
1, 0, 7, 1, 3.73333333333, 1.73076733143
1, 0, 7, 2, 5.13333333333, 0.95684667296
1, 0, 7, 3, 5.0, 2.98886823619
1, 0, 7, 4, 3.73333333333, 1.69181033873
1, 0, 8, 0, 4.2, 1.86904610252
1, 0, 8, 1, 3.73333333333, 1.56914697279
1, 0, 8, 2, 3.86666666667, 1.66799946709
1, 0, 8, 3, 4.8, 1.6
1, 0, 8, 4, 4.66666666667, 2.41292814278
1, 0, 9, 0, 4.33333333333, 1.01105005921
1, 0, 9, 1, 6.73333333333, 1.12348663642
1, 0, 9, 2, 5.2, 1.93907194297
1, 0, 9, 3, 5.13333333333, 2.41844761963
1, 0, 9, 4, 5.6, 2.82370914461
2, 0, 0, 0, 4.46666666667, 2.77768888747
2, 0, 0, 1, 4.73333333333, 1.5260697523
2, 0, 0, 2, 4.6, 1.95959179423
2, 0, 0, 3, 4.4, 1.92527054376
2, 0, 0, 4, 4.33333333333, 1.29957257931
2, 0, 1, 0, 5.13333333333, 2.09337579575
2, 0, 1, 1, 5.06666666667, 1.61107279648
2, 0, 1, 2, 4.33333333333, 1.61932770687
2, 0, 1, 3, 4.4, 1.62480768093
2, 0, 1, 4, 3.26666666667, 1.33998341615
2, 0, 2, 0, 5.46666666667, 1.25786415094
2, 0, 2, 1, 5.4, 1.08320512062
2, 0, 2, 2, 5.6, 1.25432584815
2, 0, 2, 3, 5.33333333333, 1.39841179756
2, 0, 2, 4, 5.33333333333, 1.192569588
2, 0, 3, 0, 4.4, 1.45143607047
2, 0, 3, 1, 6.93333333333, 3.0433899228
2, 0, 3, 2, 4.73333333333, 1.61107279648
2, 0, 3, 3, 4.2, 1.64113781668
2, 0, 3, 4, 6.6, 1.92527054376
2, 0, 4, 0, 7.2, 1.32664991614
2, 0, 4, 1, 2.93333333333, 1.56914697279
2, 0, 4, 2, 4.4, 1.58324561161
2, 0, 4, 3, 3.33333333333, 1.44529889258
2, 0, 4, 4, 5.8, 1.93907194297
2, 0, 5, 0, 5.8, 1.37598449604
2, 0, 5, 1, 5.4, 1.78138522878
2, 0, 5, 2, 3.2, 1.72046505341
2, 0, 5, 3, 6.26666666667, 1.76886655486
2, 0, 5, 4, 6.06666666667, 1.84270332814
2, 0, 6, 0, 6.4, 1.99332218503
2, 0, 6, 1, 6.0, 1.15470053838
2, 0, 6, 2, 7.6, 1.95959179423
2, 0, 6, 3, 4.33333333333, 1.44529889258
2, 0, 6, 4, 4.6, 1.78138522878
2, 0, 7, 0, 7.0, 1.50554530542
2, 0, 7, 1, 5.33333333333, 2.086996779
2, 0, 7, 2, 4.46666666667, 2.09337579575
2, 0, 7, 3, 6.6, 2.24499443206
2, 0, 7, 4, 3.73333333333, 2.01549552771
2, 0, 8, 0, 6.13333333333, 2.15612821717
2, 0, 8, 1, 5.33333333333, 1.34989711542
2, 0, 8, 2, 5.93333333333, 1.69181033873
2, 0, 8, 3, 6.13333333333, 2.80158685193
2, 0, 8, 4, 6.93333333333, 2.79205221218
2, 0, 9, 0, 7.46666666667, 1.58605030045
2, 0, 9, 1, 4.66666666667, 2.11869981094
2, 0, 9, 2, 4.26666666667, 1.73076733143
2, 0, 9, 3, 8.06666666667, 1.98214249964
2, 0, 9, 4, 6.6, 2.36079082795
2, 1, 0, 0, 6.8, 2.34378611083
2, 1, 0, 1, 5.33333333333, 2.79682359512
2, 1, 0, 2, 6.93333333333, 1.87853370715
2, 1, 0, 3, 7.33333333333, 2.46756740311
2, 1, 0, 4, 5.13333333333, 2.62974438978
2, 1, 1, 0, 5.26666666667, 2.14372469211
2, 1, 1, 1, 5.93333333333, 2.26470503353
2, 1, 1, 2, 4.2, 2.4
2, 1, 1, 3, 5.33333333333, 2.41292814278
2, 1, 1, 4, 7.53333333333, 2.02868320729
2, 1, 2, 0, 6.4, 6.67133170114
2, 1, 2, 1, 8.26666666667, 2.59401019445
2, 1, 2, 2, 6.33333333333, 2.21108319357
2, 1, 2, 3, 5.2, 2.4
2, 1, 2, 4, 5.26666666667, 2.61958436059
2, 1, 3, 0, 8.0, 1.59164485151
2, 1, 3, 1, 7.73333333333, 2.23507394857
2, 1, 3, 2, 9.0, 2.12916258969
2, 1, 3, 3, 7.53333333333, 2.44585817705
2, 1, 3, 4, 6.73333333333, 1.12348663642
2, 1, 4, 0, 8.46666666667, 2.62974438978
2, 1, 4, 1, 8.6, 3.49857113691
2, 1, 4, 2, 9.13333333333, 3.42279937413
2, 1, 4, 3, 6.6, 2.49799919936
2, 1, 4, 4, 4.53333333333, 2.36267268622
2, 1, 5, 0, 7.26666666667, 2.11239726903
2, 1, 5, 1, 7.93333333333, 1.91369334592
2, 1, 5, 2, 7.0, 1.31656117721
2, 1, 5, 3, 8.0, 1.8973665961
2, 1, 5, 4, 6.4, 3.77359245282
2, 1, 6, 0, 7.26666666667, 3.62338086445
2, 1, 6, 1, 8.13333333333, 1.49962958389
2, 1, 6, 2, 9.26666666667, 1.98214249964
2, 1, 6, 3, 7.33333333333, 2.02210011841
2, 1, 6, 4, 7.13333333333, 2.52630604287
2, 1, 7, 0, 3.93333333333, 1.28927197372
2, 1, 7, 1, 6.2, 3.12409987036
2, 1, 7, 2, 7.66666666667, 3.06956384886
2, 1, 7, 3, 8.66666666667, 3.35989417823
2, 1, 7, 4, 8.06666666667, 3.33599893419
2, 1, 8, 0, 6.6, 1.74355957742
2, 1, 8, 1, 7.6, 1.8547236991
2, 1, 8, 2, 9.0, 0.632455532034
2, 1, 8, 3, 4.06666666667, 1.91369334592
2, 1, 8, 4, 7.86666666667, 3.15946549629
2, 1, 9, 0, 5.13333333333, 1.8208667045
2, 1, 9, 1, 7.73333333333, 1.28927197372
2, 1, 9, 2, 6.06666666667, 1.76886655486
2, 1, 9, 3, 4.26666666667, 1.91369334592
2, 1, 9, 4, 9.0, 2.03306009093
3, 0, 0, 0, 5.33333333333, 1.39841179756
3, 0, 0, 1, 4.2, 1.16619037897
3, 0, 0, 2, 4.93333333333, 0.99777530314
3, 0, 0, 3, 2.4, 1.08320512062
3, 0, 0, 4, 5.33333333333, 1.61932770687
3, 0, 1, 0, 3.6, 2.09125161885
3, 0, 1, 1, 5.0, 1.8973665961
3, 0, 1, 2, 4.06666666667, 1.91369334592
3, 0, 1, 3, 4.6, 1.8547236991
3, 0, 1, 4, 4.26666666667, 1.33998341615
3, 0, 2, 0, 4.2, 1.51437555888
3, 0, 2, 1, 5.86666666667, 2.52630604287
3, 0, 2, 2, 5.8, 2.37205958329
3, 0, 2, 3, 5.13333333333, 1.58605030045
3, 0, 2, 4, 5.6, 1.62480768093
3, 0, 3, 0, 5.26666666667, 2.01549552771
3, 0, 3, 1, 4.33333333333, 1.192569588
3, 0, 3, 2, 5.33333333333, 1.1352924244
3, 0, 3, 3, 4.86666666667, 2.15612821717
3, 0, 3, 4, 5.4, 3.99666527662
3, 0, 4, 0, 8.0, 2.09761769634
3, 0, 4, 1, 5.33333333333, 1.95505043982
3, 0, 4, 2, 4.2, 2.16641024124
3, 0, 4, 3, 5.2, 2.22710574513
3, 0, 4, 4, 6.4, 1.35646599663
3, 0, 5, 0, 6.0, 2.42212028328
3, 0, 5, 1, 6.06666666667, 1.87853370715
3, 0, 5, 2, 5.33333333333, 2.21108319357
3, 0, 5, 3, 5.53333333333, 2.06128331117
3, 0, 5, 4, 4.66666666667, 2.11869981094
3, 0, 6, 0, 6.0, 2.3380903889
3, 0, 6, 1, 8.06666666667, 3.19304800395
3, 0, 6, 2, 4.6, 1.74355957742
3, 0, 6, 3, 5.66666666667, 1.65998661307
3, 0, 6, 4, 5.6, 1.49666295471
3, 0, 7, 0, 4.8, 1.55777619274
3, 0, 7, 1, 4.46666666667, 1.58605030045
3, 0, 7, 2, 3.6, 1.40475383371
3, 0, 7, 3, 5.73333333333, 2.51572830188
3, 0, 7, 4, 5.46666666667, 2.21710521978
3, 0, 8, 0, 4.4, 1.25432584815
3, 0, 8, 1, 3.86666666667, 1.70749979665
3, 0, 8, 2, 2.8, 0.4
3, 0, 8, 3, 8.06666666667, 2.04830553276
3, 0, 8, 4, 4.06666666667, 1.98214249964
3, 0, 9, 0, 5.86666666667, 2.87208789714
3, 0, 9, 1, 5.4, 2.41660919472
3, 0, 9, 2, 4.86666666667, 1.49962958389
3, 0, 9, 3, 6.93333333333, 2.69485105752
3, 0, 9, 4, 8.46666666667, 1.45449494862
3, 1, 0, 0, 6.66666666667, 2.46756740311
3, 1, 0, 1, 8.2, 1.37598449604
3, 1, 0, 2, 6.13333333333, 2.47296493213
3, 1, 0, 3, 7.06666666667, 2.69485105752
3, 1, 0, 4, 3.13333333333, 0.33993463424
3, 1, 1, 0, 8.73333333333, 0.442216638714
3, 1, 1, 1, 5.6, 2.30362033909
3, 1, 1, 2, 6.53333333333, 1.49962958389
3, 1, 1, 3, 5.06666666667, 2.56818137123
3, 1, 1, 4, 3.6, 1.78138522878
3, 1, 2, 0, 5.33333333333, 2.05480466766
3, 1, 2, 1, 6.93333333333, 1.23648246607
3, 1, 2, 2, 7.8, 1.72046505341
3, 1, 2, 3, 3.0, 0.0
3, 1, 2, 4, 5.73333333333, 1.69181033873
3, 1, 3, 0, 6.6, 2.02649122048
3, 1, 3, 1, 7.66666666667, 1.73845397472
3, 1, 3, 2, 5.6, 2.41660919472
3, 1, 3, 3, 5.66666666667, 2.27058484879
3, 1, 3, 4, 8.06666666667, 1.94821855949
3, 1, 4, 0, 7.26666666667, 2.20504472114
3, 1, 4, 1, 7.93333333333, 1.48174071806
3, 1, 4, 2, 6.2, 1.93907194297
3, 1, 4, 3, 6.86666666667, 3.18049611783
3, 1, 4, 4, 10.1333333333, 2.94089933335
3, 1, 5, 0, 5.26666666667, 2.14372469211
3, 1, 5, 1, 9.0, 2.09761769634
3, 1, 5, 2, 6.46666666667, 2.30554886211
3, 1, 5, 3, 6.13333333333, 2.30554886211
3, 1, 5, 4, 8.2, 2.58714772159
3, 1, 6, 0, 10.6666666667, 2.52102272016
3, 1, 6, 1, 10.0666666667, 2.11239726903
3, 1, 6, 2, 4.66666666667, 2.6749870197
3, 1, 6, 3, 8.53333333333, 3.87928974026
3, 1, 6, 4, 12.0666666667, 1.23648246607
3, 1, 7, 0, 8.26666666667, 2.29395340454
3, 1, 7, 1, 6.66666666667, 1.57762127549
3, 1, 7, 2, 8.73333333333, 2.83940525854
3, 1, 7, 3, 9.33333333333, 3.15524255099
3, 1, 7, 4, 5.46666666667, 2.89520676675
3, 1, 8, 0, 7.6, 3.86091526282
3, 1, 8, 1, 11.3333333333, 1.6996731712
3, 1, 8, 2, 8.86666666667, 2.80158685193
3, 1, 8, 3, 3.53333333333, 1.25786415094
3, 1, 8, 4, 8.6, 2.82370914461
3, 1, 9, 0, 9.2, 2.25684145064
3, 1, 9, 1, 9.53333333333, 2.2764494772
3, 1, 9, 2, 9.8, 2.31516738056
3, 1, 9, 3, 4.13333333333, 2.15612821717
3, 1, 9, 4, 6.66666666667, 3.64539283053
3, 2, 0, 0, 10.0, 2.58198889747
3, 2, 0, 1, 8.33333333333, 4.1419265512
3, 2, 0, 2, 8.4, 3.75588427227
3, 2, 0, 3, 9.26666666667, 2.14372469211
3, 2, 0, 4, 10.4666666667, 3.61232458244
3, 2, 1, 0, 9.33333333333, 3.06956384886
3, 2, 1, 1, 9.6, 1.78138522878
3, 2, 1, 2, 8.66666666667, 2.49443825785
3, 2, 1, 3, 5.66666666667, 2.49443825785
3, 2, 1, 4, 5.66666666667, 3.23865541373
3, 2, 2, 0, 4.6, 1.01980390272
3, 2, 2, 1, 4.26666666667, 2.37954243968
3, 2, 2, 2, 10.9333333333, 1.76886655486
3, 2, 2, 3, 8.4, 2.0591260282
3, 2, 2, 4, 4.4, 0.611010092661
3, 2, 3, 0, 8.8, 2.4819347292
3, 2, 3, 1, 8.6, 2.41660919472
3, 2, 3, 2, 11.8, 2.31516738056
3, 2, 3, 3, 4.93333333333, 2.17460085737
3, 2, 3, 4, 9.26666666667, 2.56818137123
3, 2, 4, 0, 11.8, 2.71293199325
3, 2, 4, 1, 5.4, 3.00665927567
3, 2, 4, 2, 6.0, 3.03315017762
3, 2, 4, 3, 6.6, 3.61109401705
3, 2, 4, 4, 7.13333333333, 3.49984126624
3, 2, 5, 0, 5.13333333333, 2.15612821717
3, 2, 5, 1, 8.6, 1.74355957742
3, 2, 5, 2, 9.6, 3.55527776693
3, 2, 5, 3, 7.93333333333, 3.29578855848
3, 2, 5, 4, 9.26666666667, 4.31225643435
3, 2, 6, 0, 5.86666666667, 3.28362942827
3, 2, 6, 1, 6.8, 4.06939798988
3, 2, 6, 2, 10.6, 4.78609095888
3, 2, 6, 3, 10.1333333333, 2.6549743669
3, 2, 6, 4, 10.4666666667, 3.28362942827
3, 2, 7, 0, 8.33333333333, 4.51171315085
3, 2, 7, 1, 9.6, 3.2
3, 2, 7, 2, 7.2, 3.48711915483
3, 2, 7, 3, 8.73333333333, 3.62338086445
3, 2, 7, 4, 12.0666666667, 2.40739601137
3, 2, 8, 0, 11.5333333333, 2.55255862921
3, 2, 8, 1, 11.4, 3.51757492221
3, 2, 8, 2, 10.6666666667, 2.4404006957
3, 2, 8, 3, 6.0, 3.24550971857
3, 2, 8, 4, 10.3333333333, 3.02581485811
3, 2, 9, 0, 11.8666666667, 1.96185852927
3, 2, 9, 1, 8.0, 3.50238014308
3, 2, 9, 2, 11.8666666667, 2.06128331117
3, 2, 9, 3, 11.1333333333, 3.13829394558
3, 2, 9, 4, 5.8, 3.08112533554
4, 0, 0, 0, 5.33333333333, 1.34989711542
4, 0, 0, 1, 4.26666666667, 0.771722460186
4, 0, 0, 2, 4.66666666667, 1.39841179756
4, 0, 0, 3, 4.46666666667, 1.35973853696
4, 0, 0, 4, 3.8, 1.97315314493
4, 0, 1, 0, 5.06666666667, 1.38884444373
4, 0, 1, 1, 5.33333333333, 1.1352924244
4, 0, 1, 2, 5.0, 2.82842712475
4, 0, 1, 3, 4.53333333333, 1.96185852927
4, 0, 1, 4, 5.06666666667, 1.48174071806
4, 0, 2, 0, 5.53333333333, 2.02868320729
4, 0, 2, 1, 7.4, 6.63123920043
4, 0, 2, 2, 5.2, 1.72046505341
4, 0, 2, 3, 5.4, 1.40475383371
4, 0, 2, 4, 4.4, 1.54056266777
4, 0, 3, 0, 6.33333333333, 1.81352940116
4, 0, 3, 1, 5.73333333333, 0.928559218479
4, 0, 3, 2, 5.33333333333, 1.44529889258
4, 0, 3, 3, 7.13333333333, 1.54344492037
4, 0, 3, 4, 6.8, 4.1825032377
4, 0, 4, 0, 5.6, 1.01980390272
4, 0, 4, 1, 5.46666666667, 1.35973853696
4, 0, 4, 2, 6.26666666667, 1.94821855949
4, 0, 4, 3, 3.6, 1.95959179423
4, 0, 4, 4, 4.8, 1.4236104336
4, 0, 5, 0, 6.4, 2.24499443206
4, 0, 5, 1, 6.06666666667, 1.48174071806
4, 0, 5, 2, 3.53333333333, 2.02868320729
4, 0, 5, 3, 6.53333333333, 1.89267594221
4, 0, 5, 4, 3.66666666667, 1.57762127549
4, 0, 6, 0, 7.2, 2.03960780544
4, 0, 6, 1, 2.46666666667, 1.25786415094
4, 0, 6, 2, 5.06666666667, 4.41915024511
4, 0, 6, 3, 7.53333333333, 1.30979218029
4, 0, 6, 4, 5.4, 1.08320512062
4, 0, 7, 0, 2.46666666667, 0.618241233033
4, 0, 7, 1, 5.33333333333, 2.57336787542
4, 0, 7, 2, 6.2, 2.4276188608
4, 0, 7, 3, 5.2, 3.2903900478
4, 0, 7, 4, 7.6, 1.8547236991
4, 0, 8, 0, 5.73333333333, 2.37954243968
4, 0, 8, 1, 5.4, 1.49666295471
4, 0, 8, 2, 6.26666666667, 2.14372469211
4, 0, 8, 3, 8.06666666667, 2.56818137123
4, 0, 8, 4, 7.53333333333, 1.8208667045
4, 0, 9, 0, 5.53333333333, 1.49962958389
4, 0, 9, 1, 3.13333333333, 1.66799946709
4, 0, 9, 2, 4.93333333333, 1.18133634311
4, 0, 9, 3, 7.53333333333, 1.96185852927
4, 0, 9, 4, 6.26666666667, 1.73076733143
4, 1, 0, 0, 7.33333333333, 1.77638834593
4, 1, 0, 1, 5.33333333333, 2.32856655954
4, 1, 0, 2, 6.93333333333, 2.37954243968
4, 1, 0, 3, 5.86666666667, 1.20369800568
4, 1, 0, 4, 5.86666666667, 2.4997777679
4, 1, 1, 0, 7.26666666667, 2.48908729368
4, 1, 1, 1, 8.93333333333, 2.04830553276
4, 1, 1, 2, 5.46666666667, 1.49962958389
4, 1, 1, 3, 5.8, 2.34378611083
4, 1, 1, 4, 4.46666666667, 2.33428552
4, 1, 2, 0, 6.33333333333, 2.62466929134
4, 1, 2, 1, 6.4, 1.54056266777
4, 1, 2, 2, 6.26666666667, 2.14372469211
4, 1, 2, 3, 8.06666666667, 1.61107279648
4, 1, 2, 4, 5.33333333333, 2.84409720103
4, 1, 3, 0, 6.66666666667, 2.05480466766
4, 1, 3, 1, 6.26666666667, 2.35135894514
4, 1, 3, 2, 8.86666666667, 3.22214559296
4, 1, 3, 3, 4.0, 0.36514837167
4, 1, 3, 4, 5.0, 2.39443799948
4, 1, 4, 0, 7.8, 1.51437555888
4, 1, 4, 1, 6.86666666667, 1.25786415094
4, 1, 4, 2, 7.86666666667, 3.095516471
4, 1, 4, 3, 6.06666666667, 2.17460085737
4, 1, 4, 4, 6.13333333333, 2.21710521978
4, 1, 5, 0, 8.26666666667, 2.32283351869
4, 1, 5, 1, 5.0, 1.67332005307
4, 1, 5, 2, 5.73333333333, 1.56914697279
4, 1, 5, 3, 9.6, 3.26190128606
4, 1, 5, 4, 6.26666666667, 2.76807193227
4, 1, 6, 0, 5.53333333333, 2.21710521978
4, 1, 6, 1, 4.06666666667, 1.38884444373
4, 1, 6, 2, 8.66666666667, 3.41890170799
4, 1, 6, 3, 10.2, 6.53401357003
4, 1, 6, 4, 7.73333333333, 2.29395340454
4, 1, 7, 0, 4.26666666667, 2.23507394857
4, 1, 7, 1, 7.53333333333, 2.09337579575
4, 1, 7, 2, 7.33333333333, 2.77288457908
4, 1, 7, 3, 5.53333333333, 2.55255862921
4, 1, 7, 4, 5.8, 1.83303027798
4, 1, 8, 0, 11.4666666667, 2.52630604287
4, 1, 8, 1, 7.13333333333, 2.30554886211
4, 1, 8, 2, 7.73333333333, 1.84270332814
4, 1, 8, 3, 10.8666666667, 3.63073301445
4, 1, 8, 4, 7.8, 2.92574776767
4, 1, 9, 0, 7.13333333333, 1.70749979665
4, 1, 9, 1, 5.93333333333, 2.35135894514
4, 1, 9, 2, 7.6, 2.38886304896
4, 1, 9, 3, 6.66666666667, 2.89059778516
4, 1, 9, 4, 7.53333333333, 2.87208789714
4, 2, 0, 0, 7.06666666667, 3.19304800395
4, 2, 0, 1, 9.0, 2.683281573
4, 2, 0, 2, 7.53333333333, 3.91350936572
4, 2, 0, 3, 10.1333333333, 2.41844761963
4, 2, 0, 4, 11.3333333333, 2.29975844142
4, 2, 1, 0, 8.53333333333, 2.98589275687
4, 2, 1, 1, 6.86666666667, 2.09337579575
4, 2, 1, 2, 6.6, 2.52454616383
4, 2, 1, 3, 8.06666666667, 3.0433899228
4, 2, 1, 4, 5.66666666667, 1.53478192443
4, 2, 2, 0, 7.26666666667, 2.93181779031
4, 2, 2, 1, 6.86666666667, 1.4079141388
4, 2, 2, 2, 8.66666666667, 3.84129607757
4, 2, 2, 3, 10.4, 1.95959179423
4, 2, 2, 4, 7.86666666667, 3.15946549629
4, 2, 3, 0, 5.66666666667, 1.24721912892
4, 2, 3, 1, 11.8, 3.03754286664
4, 2, 3, 2, 8.06666666667, 3.33599893419
4, 2, 3, 3, 7.33333333333, 2.27058484879
4, 2, 3, 4, 11.0, 2.75680975042
4, 2, 4, 0, 9.66666666667, 1.92064803879
4, 2, 4, 1, 11.2, 3.2083225108
4, 2, 4, 2, 6.4, 3.24139887497
4, 2, 4, 3, 6.0, 2.36643191324
4, 2, 4, 4, 10.2666666667, 5.01287231923
4, 2, 5, 0, 12.0666666667, 3.43446583264
4, 2, 5, 1, 11.2666666667, 2.93181779031
4, 2, 5, 2, 11.6666666667, 3.71782493163
4, 2, 5, 3, 9.2, 4.36959189551
4, 2, 5, 4, 12.5333333333, 3.44222150491
4, 2, 6, 0, 9.2, 3.05941170816
4, 2, 6, 1, 11.2, 3.93615717843
4, 2, 6, 2, 5.2, 0.4
4, 2, 6, 3, 11.5333333333, 3.68540665629
4, 2, 6, 4, 10.8, 3.83318840306
4, 2, 7, 0, 12.4666666667, 2.96348143612
4, 2, 7, 1, 11.8, 2.58714772159
4, 2, 7, 2, 13.0666666667, 2.43493098237
4, 2, 7, 3, 10.0666666667, 4.24996732014
4, 2, 7, 4, 10.3333333333, 4.57043640027
4, 2, 8, 0, 11.2, 3.81575680567
4, 2, 8, 1, 10.3333333333, 2.89059778516
4, 2, 8, 2, 9.06666666667, 3.94067112164
4, 2, 8, 3, 12.0666666667, 3.88958723888
4, 2, 8, 4, 8.13333333333, 4.61687725151
4, 2, 9, 0, 10.5333333333, 5.18802038889
4, 2, 9, 1, 10.4666666667, 3.28362942827
4, 2, 9, 2, 12.2666666667, 3.29578855848
4, 2, 9, 3, 14.0666666667, 0.573488351136
4, 2, 9, 4, 12.4666666667, 3.34398298773
